"_Imputation_","Parm","Estimate","StdErr","LowerCL","UpperCL","Z","ProbZ"
3,"age",-0.063774870590112,0.00536389094317898,-0.0742879036557434,-0.0532618375244806,-11.8896657791322,0
3,"side2",-0.0222617977113613,0.0647649792649915,-0.149198824530228,0.104675229107505,-0.343732028698338,0.731047821808137
3,"time*age",-0.00165975223821254,0.000237286193799348,-0.00212482463208785,-0.00119467984433722,-6.99472738652482,2.65787392095262e-12
3,"age*time2",8.39301035762415e-05,4.96758690804116e-06,7.41938121464081e-05,9.36663950060748e-05,16.8955481061402,0
4,"Prm6",5.50530964019412,0.347300060115827,4.82461403053851,6.18600524984974,15.8517382299273,0
4,"Prm7",6.98595357555519,0.35572181245338,6.28875163463125,7.68315551647912,19.638811371655,0
4,"time",-0.0952678521367195,0.0145340220801071,-0.123754011964239,-0.0667816923091996,-6.55481680237116,5.57101031972707e-11
4,"age",-0.0645145343133251,0.00534337738026862,-0.0749873615344576,-0.0540417070921926,-12.0737372118909,0
4,"side2",0.0797522704922891,0.0656061085211238,-0.0488333393749399,0.208337880359518,1.21562263469126,0.224128707678752
4,"time*age",-0.00121141492825154,0.000241066334411271,-0.00168389626158272,-0.000738933594920356,-5.02523478116526,5.0281701424737e-07
4,"age*time2",8.54744101429593e-05,5.42837851595619e-06,7.48349837572342e-05,9.61138365286844e-05,15.7458456317509,0
5,"Prm6",5.3433930634086,0.337086386265888,4.6827158866487,6.00407024016849,15.8517023561842,0
5,"Prm7",6.85498257989347,0.345829946283864,6.17716834040168,7.53279681938526,19.821830508185,0
5,"time",-0.0858140362585896,0.0135114479450168,-0.11229598760981,-0.0593320849073689,-6.35120947864353,2.13628670309163e-10
5,"age",-0.0641106362716886,0.00516997678123633,-0.0742436045638201,-0.0539776679795571,-12.400565608799,0
5,"side2",0.130882217038332,0.0643657445022588,0.00472767597579779,0.257036758100866,2.03341417162881,0.0420106967748732
5,"time*age",-0.00167214544229939,0.000230075741039249,-0.00212308560845268,-0.0012212052761461,-7.26780422284562,3.65485419706602e-13
5,"age*time2",0.000100248132297167,5.37637229822999e-06,8.97106362251571e-05,0.000110785628369176,18.6460547626455,0
6,"Prm6",5.34790203060285,0.333738553772254,4.69378648495675,6.00201757624895,16.0242260600563,0
6,"Prm7",6.96448396359364,0.34256515563794,6.29306859618492,7.63589933100236,20.3303921866311,0
6,"time",-0.0769123505163859,0.0138333269329851,-0.104025173091405,-0.0497995279413671,-5.55993152543737,2.69880513492637e-08
6,"age",-0.0608470102514846,0.00519054956687678,-0.0710203004625331,-0.0506737200404362,-11.7226527687505,0
6,"side2",-0.091667687832818,0.0648608114295219,-0.218792542242725,0.0354571665770888,-1.41329850509848,0.157567973363855
6,"time*age",-0.00167593169640367,0.000233564846521082,-0.00213371038363961,-0.00121815300916772,-7.17544494116494,7.20756787586652e-13
6,"age*time2",9.37525209590652e-05,5.30915056628922e-06,8.33467770606379e-05,0.000104158264857493,17.6586668222131,0
7,"Prm6",5.35895407040884,0.349042138805505,4.67484404926322,6.04306409155446,15.3533154728776,0
7,"Prm7",6.9632496925407,0.357115654714052,6.26331587098572,7.66318351409568,19.4985842838961,0
7,"time",-0.0577213408630859,0.0138383723198905,-0.0848440522147272,-0.0305986295114446,-4.17110766561184,3.0312259174492e-05
7,"age",-0.0620159905727283,0.00537567980320892,-0.0725521293794372,-0.0514798517660195,-11.5363996448801,0
7,"side2",0.0268132786092761,0.063467518996339,-0.0975807728116602,0.151207330030212,0.422472455726885,0.672680201440297
7,"time*age",-0.00201276715100344,0.000240006758891777,-0.00248317175447751,-0.00154236254752937,-8.38629362063521,0
7,"age*time2",9.05913609638918e-05,5.19004047418926e-06,8.04190685561757e-05,0.000100763653371608,17.4548467231449,0
8,"Prm6",5.27719612066113,0.352812974819236,4.58569539673699,5.96869684458527,14.9574888037066,0
8,"Prm7",6.87658932126645,0.36342519858537,6.16428902096481,7.58888962156809,18.9216084851395,0
8,"time",-0.0699372797795609,0.0145750020951797,-0.0985037589607089,-0.0413708005984128,-4.79844046147278,1.59905825736217e-06
8,"age",-0.061975291398425,0.0054364757937793,-0.0726305881570562,-0.0513199946397937,-11.3999020228031,0
8,"side2",0.0606125539918511,0.0613423510280301,-0.0596162447501014,0.180841352733804,0.9881028844844,0.323102263239906
8,"time*age",-0.00200725148374915,0.000238112363018206,-0.00247394313953856,-0.00154055982795974,-8.42984991751845,0
